cell_id,method,proposals,unique_eligible_paths,duplicate_proposals,known_infeasible,search_wall_s,adaptive_ask_sum_s,adaptive_tell_sum_s,candidate_generation_sum_s,plan_evaluation_sum_s,F_U_parameter_differences_after_startup
bb84_test_total17_r1/1dpu_t8,F,128,128,0,0,8.11526807199698,0.3184982353122905,0.024941480078268796,1.8447665312560275,5.688150731730275,111
bb84_test_total17_r1/1dpu_t8,U,128,128,0,0,8.136884939973243,0.3214981506462209,0.02535719401203096,1.8452722551301122,5.702263826387934,111
bb84_test_total17_r1/4dpu_t8,F,128,128,0,0,7.92461602500407,0.3162126712850295,0.024252754054032266,1.8534675163100474,5.48816155095119,112
bb84_test_total17_r1/4dpu_t8,U,128,128,0,0,7.888964940968435,0.3138914146111347,0.024936850648373365,1.859796943841502,5.454913919616956,112
bv_test_total17_r1/1dpu_t8,F,128,109,0,19,19.24810044298647,0.3435454883147031,0.026375926157925278,1.988311139284633,15.85237944999244,0
bv_test_total17_r1/1dpu_t8,U,128,109,0,19,18.884696093038656,0.3381290719262324,0.025792833243031055,1.9489315473474562,15.556792785937432,0
bv_test_total17_r1/4dpu_t8,F,128,114,0,14,20.401581696001813,0.33243745926301926,0.02579937916016206,1.9398447669809684,17.325140472094063,112
bv_test_total17_r1/4dpu_t8,U,128,115,0,13,17.806065163982566,0.33451584179420024,0.025145594670902938,1.9561289911507629,14.659556827798951,112
edc_test_data9_syndrome8_total17_r1/1dpu_t8,F,128,101,2,25,11.415147020015866,0.3201317243510857,0.024822681967634708,1.844371284765657,8.969019729935098,96
edc_test_data9_syndrome8_total17_r1/1dpu_t8,U,128,103,0,25,11.548224050027784,0.3251602379605174,0.025731668109074235,1.856279356754385,9.08047623973107,96
edc_test_data9_syndrome8_total17_r1/4dpu_t8,F,128,104,0,24,16.183026703016367,0.32317431236151606,0.02618646272458136,1.901844558015,13.512747590662912,111
edc_test_data9_syndrome8_total17_r1/4dpu_t8,U,128,107,0,21,9.334927474032156,0.3180908677750267,0.024984643212519586,1.9031520569114946,6.843963072518818,111
hs_test_total18_r1/1dpu_t8,F,128,112,0,16,220.86281227099244,0.35185392235871404,0.026187864888925105,2.3204273799201474,216.95648254093248,108
hs_test_total18_r1/1dpu_t8,U,128,114,0,14,146.6173022299772,0.3498985781916417,0.026545484899543226,2.3811745222774334,142.54738344351063,108
hs_test_total18_r1/4dpu_t8,F,128,112,0,16,160.49146102101076,0.34382860269397497,0.026286834094207734,2.3365882675279863,156.4251555710798,106
hs_test_total18_r1/4dpu_t8,U,128,114,0,14,163.25941129901912,0.340050229919143,0.02637135173426941,2.3181215176009573,159.2538430018467,106
qrng_test_total17_r1/1dpu_t8,F,128,128,0,0,8.146907921996899,0.3195130316889845,0.02540633821627125,1.8715703305788338,5.686858569039032,0
qrng_test_total17_r1/1dpu_t8,U,128,128,0,0,8.153757606982253,0.31889796641189605,0.02443136612419039,1.8610804213094525,5.703162686841097,0
qrng_test_total17_r1/4dpu_t8,F,128,128,0,0,8.024843574035913,0.31164748390438035,0.025637348764576018,1.8693110613385215,5.585440838942304,0
qrng_test_total17_r1/4dpu_t8,U,128,128,0,0,7.958762689027935,0.3147820030571893,0.024951123632490635,1.849974178825505,5.524743030022364,0
xor_test_total17_r1/1dpu_t8,F,128,99,13,16,11.021095123025589,0.3232140739564784,0.025320206303149462,1.8536636380595155,8.536091640766244,109
xor_test_total17_r1/1dpu_t8,U,128,95,12,21,9.585807499999646,0.3265979132265784,0.025137281918432564,1.91060256306082,7.058278177748434,109
xor_test_total17_r1/4dpu_t8,F,128,100,7,21,9.900262310984544,0.3185263409977779,0.025050214608199894,1.900054482917767,7.394627901725471,112
xor_test_total17_r1/4dpu_t8,U,128,97,8,23,9.646114187024068,0.31598172476515174,0.02457230561412871,1.8808929259539582,7.150377238111105,112
