cell_id,method,path_id,H,P,N,M_total,W_total,launch_count
bb84_test_total17_r1/1dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,2138680,24413104,71,2256448,528096,39
bb84_test_total17_r1/1dpu_t8,F,02e4eaf87037f1b856112ad1bba7c3c895f614ce9e5f823bdd6cd3c9d267ba19,2138680,24413104,71,2256512,528096,39
bb84_test_total17_r1/1dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,2138680,24413104,71,2256448,528096,39
bb84_test_total17_r1/1dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,2138680,24413104,71,2256448,528096,39
bb84_test_total17_r1/4dpu_t8,G,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,2141488,24413104,23,2256448,528096,13
bb84_test_total17_r1/4dpu_t8,F,00f4b33065a6e9ba2d1f748a7acdbb43d64f1d6769b61127c1d3d13235633016,2141488,24413104,23,2256768,528096,13
bb84_test_total17_r1/4dpu_t8,R,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,2141488,24413104,23,2256448,528096,13
bb84_test_total17_r1/4dpu_t8,U,6090d7b208ba8b619090571504014f734762ed83a05efecbe30dc6e88e5790aa,2141488,24413104,23,2256448,528096,13
bv_test_total17_r1/1dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,2151752,24504400,123,2268608,532384,65
bv_test_total17_r1/1dpu_t8,F,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,2151368,24500176,123,2268096,532256,65
bv_test_total17_r1/1dpu_t8,R,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,2151368,24500176,123,2268096,532256,65
bv_test_total17_r1/1dpu_t8,U,00d8fc35f75c73304ad25cea6b15ab88eb498146134c350120e5ad6da7360179,2151368,24500176,123,2268096,532256,65
bv_test_total17_r1/4dpu_t8,G,740cebb98d01b20e761292de5e1d8ac73815c42d4841b7cc7d9ada0704821112,2154992,24504400,37,2268608,532384,20
bv_test_total17_r1/4dpu_t8,F,00426d166a3c0f128202dfa1d1dce53e9ac3696892daa43a0e3f0163f93d33e8,2154608,24500176,37,2268096,532256,20
bv_test_total17_r1/4dpu_t8,R,00426d166a3c0f128202dfa1d1dce53e9ac3696892daa43a0e3f0163f93d33e8,2154608,24500176,37,2268096,532256,20
bv_test_total17_r1/4dpu_t8,U,00426d166a3c0f128202dfa1d1dce53e9ac3696892daa43a0e3f0163f93d33e8,2154608,24500176,37,2268096,532256,20
edc_test_data9_syndrome8_total17_r1/1dpu_t8,G,04c40dc3a3e5dc7cdc616f7ecee17a1080e4e53ef8906de5f295dc378d515f0c,8010440,92094688,257,10814144,7818800,215
edc_test_data9_syndrome8_total17_r1/1dpu_t8,F,05c40dfc918ebf9749d8b351c7163e21e4448362669f77dca0925ca85f993ad2,2391496,26684688,91,2860064,4319840,49
edc_test_data9_syndrome8_total17_r1/1dpu_t8,R,05c40dfc918ebf9749d8b351c7163e21e4448362669f77dca0925ca85f993ad2,2391496,26684688,91,2860064,4319840,49
edc_test_data9_syndrome8_total17_r1/1dpu_t8,U,98b0a3b62c54a7307b987dcdb7e917b0c42563a2b2ff1dc8084f7bd26a1386bb,2387512,26772256,91,2858848,4316976,49
edc_test_data9_syndrome8_total17_r1/4dpu_t8,G,04c40dc3a3e5dc7cdc616f7ecee17a1080e4e53ef8906de5f295dc378d515f0c,8041760,92094688,103,10814144,7818800,90
edc_test_data9_syndrome8_total17_r1/4dpu_t8,F,b86dbd7cfe7821da03a8e9964a077bf93c7d81a880536838a93f3c72c0cb5466,2390416,26627408,31,2857248,4315040,17
