case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs
bb84_n08,1,2,1,2,0,contract_0,2,16
bb84_n08,1,2,1,2,0,contract_1,2,16
bb84_n08,1,2,1,2,0,contract_2,2,16
bb84_n08,1,2,1,2,0,contract_3,2,16
bb84_n08,1,2,1,2,0,contract_4,2,16
bb84_n08,1,2,1,2,0,contract_5,2,16
bb84_n08,1,2,2,1,1,contract_6,2,16
bb84_n08,1,2,2,1,1,contract_7,2,16
bb84_n08,1,1,2,2,0,contract_8,4,16
bb84_n08,1,1,2,2,2,contract_9,4,16
bb84_n08,1,1,2,2,2,contract_10,4,16
bb84_n08,1,1,2,2,2,contract_11,4,16
bb84_n08,1,1,4,4,2,contract_12,16,64
bb84_n08,1,1,4,4,2,contract_13,16,64
bb84_n08,1,1,16,16,2,contract_14,256,1024
bb84_n12,1,2,1,2,0,contract_0,2,16
bb84_n12,1,2,1,2,0,contract_1,2,16
bb84_n12,1,2,1,2,0,contract_2,2,16
bb84_n12,1,2,1,2,0,contract_3,2,16
bb84_n12,1,2,1,2,0,contract_4,2,16
bb84_n12,1,2,1,2,0,contract_5,2,16
bb84_n12,1,2,1,2,0,contract_6,2,16
bb84_n12,1,2,1,2,0,contract_7,2,16
bb84_n12,1,2,1,2,0,contract_8,2,16
bb84_n12,1,2,2,1,1,contract_9,2,16
bb84_n12,1,2,2,1,1,contract_10,2,16
bb84_n12,1,2,2,1,1,contract_11,2,16
bb84_n12,1,1,2,2,0,contract_12,4,16
bb84_n12,1,1,2,2,1,contract_13,4,16
bb84_n12,1,1,2,2,2,contract_14,4,16
bb84_n12,1,1,2,2,2,contract_15,4,16
bb84_n12,1,1,2,2,2,contract_16,4,16
bb84_n12,1,1,2,2,2,contract_17,4,16
bb84_n12,1,1,4,4,2,contract_18,16,64
bb84_n12,1,1,4,4,2,contract_19,16,64
bb84_n12,1,1,4,4,2,contract_20,16,64
bb84_n12,1,1,16,16,2,contract_21,256,1024
bb84_n12,1,1,16,256,2,contract_22,4096,16384
bb84_n16,1,2,1,2,0,contract_0,2,16
bb84_n16,1,2,1,2,0,contract_1,2,16
bb84_n16,1,2,1,2,0,contract_2,2,16
bb84_n16,1,2,1,2,0,contract_3,2,16
bb84_n16,1,2,1,2,0,contract_4,2,16
bb84_n16,1,2,1,2,0,contract_5,2,16
bb84_n16,1,2,1,2,0,contract_6,2,16
bb84_n16,1,2,1,2,0,contract_7,2,16
bb84_n16,1,2,1,2,0,contract_8,2,16
bb84_n16,1,2,1,2,0,contract_9,2,16
bb84_n16,1,2,1,2,0,contract_10,2,16
bb84_n16,1,2,1,2,0,contract_11,2,16
bb84_n16,1,2,2,1,1,contract_12,2,16
bb84_n16,1,2,2,1,1,contract_13,2,16
bb84_n16,1,2,2,1,1,contract_14,2,16
bb84_n16,1,2,2,1,1,contract_15,2,16
bb84_n16,1,1,2,2,0,contract_16,4,16
bb84_n16,1,1,2,2,0,contract_17,4,16
bb84_n16,1,1,2,2,2,contract_18,4,16
bb84_n16,1,1,2,2,2,contract_19,4,16
bb84_n16,1,1,2,2,2,contract_20,4,16
bb84_n16,1,1,2,2,2,contract_21,4,16
bb84_n16,1,1,2,2,2,contract_22,4,16
bb84_n16,1,1,2,2,2,contract_23,4,16
bb84_n16,1,1,4,4,2,contract_24,16,64
bb84_n16,1,1,4,4,2,contract_25,16,64
bb84_n16,1,1,4,4,2,contract_26,16,64
bb84_n16,1,1,4,4,2,contract_27,16,64
bb84_n16,1,1,16,16,2,contract_28,256,1024
bb84_n16,1,1,16,16,2,contract_29,256,1024
bb84_n16,1,1,256,256,2,contract_30,65536,262144
bb84_n18,1,2,1,2,0,contract_0,2,16
bb84_n18,1,2,1,2,0,contract_1,2,16
bb84_n18,1,2,1,2,0,contract_2,2,16
bb84_n18,1,2,1,2,0,contract_3,2,16
bb84_n18,1,2,1,2,0,contract_4,2,16
bb84_n18,1,2,1,2,0,contract_5,2,16
bb84_n18,1,2,1,2,0,contract_6,2,16
bb84_n18,1,2,1,2,0,contract_7,2,16
bb84_n18,1,2,1,2,0,contract_8,2,16
bb84_n18,1,2,1,2,0,contract_9,2,16
bb84_n18,1,2,1,2,0,contract_10,2,16
bb84_n18,1,2,1,2,0,contract_11,2,16
bb84_n18,1,2,1,2,0,contract_12,2,16
bb84_n18,1,2,2,1,1,contract_13,2,16
bb84_n18,1,2,2,1,1,contract_14,2,16
bb84_n18,1,2,2,1,1,contract_15,2,16
bb84_n18,1,2,2,1,1,contract_16,2,16
bb84_n18,1,1,2,2,0,contract_17,4,16
bb84_n18,1,1,2,2,0,contract_18,4,16
bb84_n18,1,1,2,2,1,contract_19,4,16
bb84_n18,1,1,2,2,2,contract_20,4,16
bb84_n18,1,1,2,2,2,contract_21,4,16
bb84_n18,1,1,2,2,2,contract_22,4,16
bb84_n18,1,1,2,2,2,contract_23,4,16
bb84_n18,1,1,2,2,2,contract_24,4,16
bb84_n18,1,1,2,2,2,contract_25,4,16
bb84_n18,1,1,4,4,2,contract_26,16,64
bb84_n18,1,1,4,4,2,contract_27,16,64
bb84_n18,1,1,4,4,2,contract_28,16,64
bb84_n18,1,1,4,4,2,contract_29,16,64
bb84_n18,1,1,4,16,2,contract_30,64,256
bb84_n18,1,1,16,16,2,contract_31,256,1024
bb84_n18,1,1,16,64,2,contract_32,1024,4096
bb84_n18,1,1,256,1024,2,contract_33,262144,1048576
bb84_n20,1,2,1,2,0,contract_0,2,16
bb84_n20,1,2,1,2,0,contract_1,2,16
bb84_n20,1,2,1,2,0,contract_2,2,16
bb84_n20,1,2,1,2,0,contract_3,2,16
bb84_n20,1,2,1,2,0,contract_4,2,16
bb84_n20,1,2,1,2,0,contract_5,2,16
bb84_n20,1,2,1,2,0,contract_6,2,16
bb84_n20,1,2,1,2,0,contract_7,2,16
bb84_n20,1,2,1,2,0,contract_8,2,16
bb84_n20,1,2,1,2,0,contract_9,2,16
bb84_n20,1,2,1,2,0,contract_10,2,16
bb84_n20,1,2,1,2,0,contract_11,2,16
bb84_n20,1,2,1,2,0,contract_12,2,16
bb84_n20,1,2,1,2,0,contract_13,2,16
bb84_n20,1,2,1,2,0,contract_14,2,16
bb84_n20,1,2,2,1,1,contract_15,2,16
bb84_n20,1,2,2,1,1,contract_16,2,16
bb84_n20,1,2,2,1,1,contract_17,2,16
bb84_n20,1,2,2,1,1,contract_18,2,16
bb84_n20,1,2,2,1,1,contract_19,2,16
bb84_n20,1,1,2,2,0,contract_20,4,16
bb84_n20,1,1,2,2,0,contract_21,4,16
bb84_n20,1,1,2,2,1,contract_22,4,16
bb84_n20,1,1,2,2,2,contract_23,4,16
bb84_n20,1,1,2,2,2,contract_24,4,16
bb84_n20,1,1,2,2,2,contract_25,4,16
bb84_n20,1,1,2,2,2,contract_26,4,16
bb84_n20,1,1,2,2,2,contract_27,4,16
bb84_n20,1,1,2,2,2,contract_28,4,16
bb84_n20,1,1,2,2,2,contract_29,4,16
bb84_n20,1,1,4,4,2,contract_30,16,64
bb84_n20,1,1,4,4,2,contract_31,16,64
bb84_n20,1,1,4,4,2,contract_32,16,64
bb84_n20,1,1,4,4,2,contract_33,16,64
bb84_n20,1,1,4,4,2,contract_34,16,64
bb84_n20,1,1,16,16,2,contract_35,256,1024
bb84_n20,1,1,16,16,2,contract_36,256,1024
bb84_n20,1,1,16,256,2,contract_37,4096,16384
bb84_n20,1,1,256,4096,2,contract_38,1048576,4194304
bb84_n22,1,2,1,2,0,contract_0,2,16
bb84_n22,1,2,1,2,0,contract_1,2,16
bb84_n22,1,2,1,2,0,contract_2,2,16
bb84_n22,1,2,1,2,0,contract_3,2,16
bb84_n22,1,2,1,2,0,contract_4,2,16
bb84_n22,1,2,1,2,0,contract_5,2,16
bb84_n22,1,2,1,2,0,contract_6,2,16
bb84_n22,1,2,1,2,0,contract_7,2,16
bb84_n22,1,2,1,2,0,contract_8,2,16
