suite,case_id,arm_id,expected,success,unsupported,not_attempted,not_collected,timeout,memory_limit,failure,complete,quality_qualified,int8_error_characterization_only
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,edc_n17,upmem_d4_t8_serial_nodes_v1_1_f32,7,7,0,0,0,0,0,0,True,True,False
A,edc_n17,upmem_d4_t8_static_dag_waves_v1_1_f32,7,7,0,0,0,0,0,0,True,True,False
A,hs_n18,upmem_d1_t1_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,hs_n18,upmem_d1_t8_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,hs_n18,upmem_d4_t8_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,hs_n18,upmem_d4_t8_serial_nodes_v1_1_f32,7,7,0,0,0,0,0,0,True,True,False
A,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,7,7,0,0,0,0,0,0,True,True,False
A,stress_n16_l2,upmem_d1_t1_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,stress_n16_l2,upmem_d1_t8_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_0_f32,7,7,0,0,0,0,0,0,True,True,False
A,stress_n16_l2,upmem_d4_t8_serial_nodes_v1_1_f32,7,7,0,0,0,0,0,0,True,True,False
A,stress_n16_l2,upmem_d4_t8_static_dag_waves_v1_1_f32,7,7,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d1_t8_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d1_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d2_t8_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d2_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d4_t8_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d4_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d8_t8_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d8_t24_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
D,hs_n18,upmem_d16_t8_static_dag_waves_v1_1_f32,5,5,0,0,0,0,0,0,True,True,False
