family,arm_id,largest_fully_measured_qubits,claim
bb84,numpy_p1,,"largest qualified point in declared grid, not maximum supported circuit"
bv,numpy_p1,,"largest qualified point in declared grid, not maximum supported circuit"
edc,numpy_p1,,"largest qualified point in declared grid, not maximum supported circuit"
hs,numpy_p1,,"largest qualified point in declared grid, not maximum supported circuit"
qrng,numpy_p1,,"largest qualified point in declared grid, not maximum supported circuit"
xor,numpy_p1,,"largest qualified point in declared grid, not maximum supported circuit"
bb84,quest32_p1,,"largest qualified point in declared grid, not maximum supported circuit"
bv,quest32_p1,,"largest qualified point in declared grid, not maximum supported circuit"
edc,quest32_p1,,"largest qualified point in declared grid, not maximum supported circuit"
hs,quest32_p1,,"largest qualified point in declared grid, not maximum supported circuit"
qrng,quest32_p1,,"largest qualified point in declared grid, not maximum supported circuit"
xor,quest32_p1,,"largest qualified point in declared grid, not maximum supported circuit"
bb84,quest32_p8,,"largest qualified point in declared grid, not maximum supported circuit"
bv,quest32_p8,,"largest qualified point in declared grid, not maximum supported circuit"
edc,quest32_p8,,"largest qualified point in declared grid, not maximum supported circuit"
hs,quest32_p8,,"largest qualified point in declared grid, not maximum supported circuit"
qrng,quest32_p8,,"largest qualified point in declared grid, not maximum supported circuit"
xor,quest32_p8,,"largest qualified point in declared grid, not maximum supported circuit"
bb84,upmem_d64_t24_static_dag_waves_v1_1_f32,,"largest qualified point in declared grid, not maximum supported circuit"
bv,upmem_d64_t24_static_dag_waves_v1_1_f32,,"largest qualified point in declared grid, not maximum supported circuit"
edc,upmem_d64_t24_static_dag_waves_v1_1_f32,,"largest qualified point in declared grid, not maximum supported circuit"
hs,upmem_d64_t24_static_dag_waves_v1_1_f32,,"largest qualified point in declared grid, not maximum supported circuit"
qrng,upmem_d64_t24_static_dag_waves_v1_1_f32,,"largest qualified point in declared grid, not maximum supported circuit"
xor,upmem_d64_t24_static_dag_waves_v1_1_f32,,"largest qualified point in declared grid, not maximum supported circuit"
