view,case_id,cohort,point,cell_id,measured_blocks
T,bb84_n18,primary,T1,cell-5a0d55996c90e4b5adc824c1861e7bbfe0133ee4ec1944e6c65a3c023b99d88b,"[1,2,3,4,5]"
T,bb84_n18,primary,T2,cell-2ba5433672891faa7e058961bb03b593c6d0a4a6d893dc5d98072c5de9137cca,"[1,2,3,4,5]"
T,bb84_n18,primary,T3,cell-80f18c66ae54e5b98dd1439d7aae6d5f0b65b9100f911f69d318749253855069,"[1,2,3,4,5]"
T,bb84_n18,primary,T4,cell-38f6656953da69416895100d9ebbff1f7378d13005379c1af8d655b068fc17bf,"[1,2,3,4,5]"
T,bb84_n18,primary,T5,cell-81d944ad32fa493c692697452a4622141ce4bc0ada0ded9f04f1fa0479f5909a,"[1,2,3,4,5]"
T,bb84_n18,primary,T6,cell-363c438768ade2018361263dd6db3913279795dea46d6cc7bc32a14cccb48a8f,"[1,2,3,4,5]"
T,bb84_n18,primary,T7,cell-44b591523cc1e116919f7d39c13c4891a39401832dce3d5e7b2cfffede891319,"[1,2,3,4,5]"
T,bb84_n18,primary,T8,cell-1ecd50fb53ab8b81de7b4edafbca637a05b50837f567d494ea7ab719b544f281,"[1,2,3,4,5]"
T,bb84_n18,primary,T9,cell-c8ffd1cd9119868f092bb2e3b00022f2a5d458ee491c328a50fc0ce21fbb2400,"[1,2,3,4,5]"
T,bb84_n18,primary,T10,cell-537bbe0d115e3b7c5cba6e7789a2b127e7cebf714b4cc258d52875076510b80c,"[1,2,3,4,5]"
T,bb84_n18,primary,T11,cell-560dbf9ec78f4c4476f11c0ff16f999ab6255803caa7becee697ab3feb17c346,"[1,2,3,4,5]"
T,bb84_n18,primary,T12,cell-41a80064f42c608781d7a9f5e22255e489b7915bf59c559422ad7437423c116c,"[1,2,3,4,5]"
T,bb84_n18,primary,T13,cell-1d24c68be5191bb1e50adda9fd660742815cea145f30ae303e14292c195f43bc,"[1,2,3,4,5]"
T,bb84_n18,primary,T14,cell-4a7a78320dd20510acc73c92c2519e8aa1bf1e943ab62818b023a1d3da1d129c,"[1,2,3,4,5]"
T,bb84_n18,primary,T15,cell-5527f48b6210b6c22c9d62fe38aaa34ab204bb6a04911664fa11d566db165b65,"[1,2,3,4,5]"
T,bb84_n18,primary,T16,cell-b837a3d7b276a4c1c0dfebec8acfb2ac2822214660406232db44199d44f4d260,"[1,2,3,4,5]"
