case_id,family,q,n,builder,parameters,cohort
bb84_n08,bb84,8,8,build_family_qasm,"{""n_qubits"":8}",primary
bb84_n12,bb84,12,12,build_family_qasm,"{""n_qubits"":12}",primary
bb84_n16,bb84,16,16,build_family_qasm,"{""n_qubits"":16}",primary
bb84_n18,bb84,18,18,build_family_qasm,"{""n_qubits"":18}",primary
bb84_n20,bb84,20,20,build_family_qasm,"{""n_qubits"":20}",primary
bb84_n22,bb84,22,22,build_family_qasm,"{""n_qubits"":22}",primary
bb84_n24,bb84,24,24,build_family_qasm,"{""n_qubits"":24}",primary
bb84_n26,bb84,26,26,build_family_qasm,"{""n_qubits"":26}",primary
bv_n08,bv,8,8,build_family_qasm,"{""data_qubits"":7}",primary
bv_n12,bv,12,12,build_family_qasm,"{""data_qubits"":11}",primary
bv_n16,bv,16,16,build_family_qasm,"{""data_qubits"":15}",primary
bv_n18,bv,18,18,build_family_qasm,"{""data_qubits"":17}",primary
bv_n20,bv,20,20,build_family_qasm,"{""data_qubits"":19}",primary
bv_n22,bv,22,22,build_family_qasm,"{""data_qubits"":21}",primary
bv_n24,bv,24,24,build_family_qasm,"{""data_qubits"":23}",primary
bv_n26,bv,26,26,build_family_qasm,"{""data_qubits"":25}",primary
edc_n07,edc,8,7,build_family_qasm,"{""data_qubits"":4}",primary
edc_n11,edc,12,11,build_family_qasm,"{""data_qubits"":6}",primary
edc_n15,edc,16,15,build_family_qasm,"{""data_qubits"":8}",primary
edc_n17,edc,18,17,build_family_qasm,"{""data_qubits"":9}",primary
edc_n19,edc,20,19,build_family_qasm,"{""data_qubits"":10}",primary
edc_n21,edc,22,21,build_family_qasm,"{""data_qubits"":11}",primary
edc_n23,edc,24,23,build_family_qasm,"{""data_qubits"":12}",primary
edc_n25,edc,26,25,build_family_qasm,"{""data_qubits"":13}",primary
ghz_n18,ghz,18,18,ghz_chain,"{""n_qubits"":18}",supplementary
hs_n08,hs,8,8,build_family_qasm,"{""allocated_qubits"":8}",primary
hs_n12,hs,12,12,build_family_qasm,"{""allocated_qubits"":12}",primary
hs_n16,hs,16,16,build_family_qasm,"{""allocated_qubits"":16}",primary
hs_n18,hs,18,18,build_family_qasm,"{""allocated_qubits"":18}",primary
hs_n20,hs,20,20,build_family_qasm,"{""allocated_qubits"":20}",primary
hs_n22,hs,22,22,build_family_qasm,"{""allocated_qubits"":22}",primary
hs_n24,hs,24,24,build_family_qasm,"{""allocated_qubits"":24}",primary
hs_n26,hs,26,26,build_family_qasm,"{""allocated_qubits"":26}",primary
qrng_n08,qrng,8,8,build_family_qasm,"{""n_qubits"":8}",primary
qrng_n12,qrng,12,12,build_family_qasm,"{""n_qubits"":12}",primary
qrng_n16,qrng,16,16,build_family_qasm,"{""n_qubits"":16}",primary
qrng_n18,qrng,18,18,build_family_qasm,"{""n_qubits"":18}",primary
qrng_n20,qrng,20,20,build_family_qasm,"{""n_qubits"":20}",primary
qrng_n22,qrng,22,22,build_family_qasm,"{""n_qubits"":22}",primary
qrng_n24,qrng,24,24,build_family_qasm,"{""n_qubits"":24}",primary
qrng_n26,qrng,26,26,build_family_qasm,"{""n_qubits"":26}",primary
stress_n08_l2,stress,8,8,quantization_stress,"{""n_qubits"":8,""repeat_layers"":2}",supplementary
stress_n12_l2,stress,12,12,quantization_stress,"{""n_qubits"":12,""repeat_layers"":2}",supplementary
stress_n16_l2,stress,16,16,quantization_stress,"{""n_qubits"":16,""repeat_layers"":2}",supplementary
stress_n18_l2,stress,18,18,quantization_stress,"{""n_qubits"":18,""repeat_layers"":2}",supplementary
xor_n08,xor,8,8,build_family_qasm,"{""data_qubits"":7}",primary
xor_n12,xor,12,12,build_family_qasm,"{""data_qubits"":11}",primary
xor_n16,xor,16,16,build_family_qasm,"{""data_qubits"":15}",primary
xor_n18,xor,18,18,build_family_qasm,"{""data_qubits"":17}",primary
xor_n20,xor,20,20,build_family_qasm,"{""data_qubits"":19}",primary
xor_n22,xor,22,22,build_family_qasm,"{""data_qubits"":21}",primary
xor_n24,xor,24,24,build_family_qasm,"{""data_qubits"":23}",primary
xor_n26,xor,26,26,build_family_qasm,"{""data_qubits"":25}",primary
