case_id,family,cohort,role,view,blocks,selection_family,binding
bb84_n08,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n08,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n08,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n08,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n08,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n12,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n12,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n12,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n12,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n12,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n16,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n16,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n16,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n16,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n16,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n18,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n18,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n18,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n18,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n18,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n20,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n20,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n20,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n20,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n20,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n22,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n22,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n22,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n22,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n22,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n24,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n24,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n24,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n24,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n24,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n26,bb84,primary,upmem_f32,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n26,bb84,primary,upmem_int8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n26,bb84,primary,quest32_p8,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n26,bb84,primary,quest32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bb84_n26,bb84,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bb84,after_selection_and_R_seal
bv_n08,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n08,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n08,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n08,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n08,bv,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n12,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n12,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n12,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n12,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n12,bv,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n16,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n16,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n16,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n16,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n16,bv,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n18,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n18,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n18,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n18,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n18,bv,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n20,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n20,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n20,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n20,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n20,bv,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n22,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n22,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n22,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n22,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n22,bv,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n24,bv,primary,upmem_f32,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n24,bv,primary,upmem_int8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n24,bv,primary,quest32_p8,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
bv_n24,bv,primary,quest32_p1,W,"[0,1,2,3,4,5]",bv,after_selection_and_R_seal
