configuration_id,arm,fixture_id
0614d89b69a0cbbb1eeec6e51841ad485b9173655a84e785f5238aaf580fe6b6,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":10,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
0614d89b69a0cbbb1eeec6e51841ad485b9173655a84e785f5238aaf580fe6b6,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":10,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
13dfb0a64a7fe1ecb0cd2af6647a7c147ba7218cfc037024ab082b5f42ffbfbe,"{""backend"":""upmem"",""dpus"":4,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
13dfb0a64a7fe1ecb0cd2af6647a7c147ba7218cfc037024ab082b5f42ffbfbe,"{""backend"":""upmem"",""dpus"":4,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
14aec505d4de73636d673ab51471bc242f33036ec2efc3e15a4d99764794c575,"{""backend"":""upmem"",""dpus"":16,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
14aec505d4de73636d673ab51471bc242f33036ec2efc3e15a4d99764794c575,"{""backend"":""upmem"",""dpus"":16,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
17efa4701a2575a143430a077acd661f07698cd149f7bb987262cfeee98b8253,"{""backend"":""upmem"",""dpus"":1,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
17efa4701a2575a143430a077acd661f07698cd149f7bb987262cfeee98b8253,"{""backend"":""upmem"",""dpus"":1,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
20c8045b6a202d1fd25525e162bc7e46452b3b39764438e593af95652f3df5a7,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":19,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
20c8045b6a202d1fd25525e162bc7e46452b3b39764438e593af95652f3df5a7,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":19,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
26d383578cf3bdc75d6e47da6e0024efb05ac8a55653eda872e3df3a1ac2cbba,"{""backend"":""upmem"",""dpus"":2,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
26d383578cf3bdc75d6e47da6e0024efb05ac8a55653eda872e3df3a1ac2cbba,"{""backend"":""upmem"",""dpus"":2,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
27b62e57038c9a28dce9f5844c37556b2808dc892f3a5401afe82eba05fa54ed,"{""backend"":""upmem"",""dpus"":16,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
27b62e57038c9a28dce9f5844c37556b2808dc892f3a5401afe82eba05fa54ed,"{""backend"":""upmem"",""dpus"":16,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
29481df23b1b357717368d6284c913f33919ba722596e0c03fdf057ced715fa8,"{""backend"":""upmem"",""dpus"":16,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
29481df23b1b357717368d6284c913f33919ba722596e0c03fdf057ced715fa8,"{""backend"":""upmem"",""dpus"":16,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
2b8e4a9cc20bd089c1aa3301ef04b0d6323d92429ecfb0225019eb4ebb909369,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":3,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
2b8e4a9cc20bd089c1aa3301ef04b0d6323d92429ecfb0225019eb4ebb909369,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":3,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
2fa411127cd5d818380604c2b191da4707d8a8f733bc834e8991b59f3dd5e897,"{""backend"":""upmem"",""dpus"":8,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
2fa411127cd5d818380604c2b191da4707d8a8f733bc834e8991b59f3dd5e897,"{""backend"":""upmem"",""dpus"":8,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
304a8dfac62b65c63a65cc648c99e36178312daebe5c835400ae9691934d9eb5,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":12,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
304a8dfac62b65c63a65cc648c99e36178312daebe5c835400ae9691934d9eb5,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":12,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
31267b1192f6bcfe73c728283c5361e8c403cf0d03d4bc0d1a81e912c3542b70,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":17,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
31267b1192f6bcfe73c728283c5361e8c403cf0d03d4bc0d1a81e912c3542b70,"{""backend"":""upmem"",""dpus"":1,""fuse"":false,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""serial_nodes_v1"",""tasklets"":17,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
331b392a1c3d586bc3d3a4517fd58a67161c6af5a439dd8bcd117b95b5116c45,"{""backend"":""upmem"",""dpus"":32,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
331b392a1c3d586bc3d3a4517fd58a67161c6af5a439dd8bcd117b95b5116c45,"{""backend"":""upmem"",""dpus"":32,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""complex_int8_shared_scale_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":24,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
3872eb5801c4ed1caf76d52c86eaeb5d01128bb9b7f41dc2a4a1b6e7b6582d5a,"{""backend"":""upmem"",""dpus"":1,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_hs_n04
3872eb5801c4ed1caf76d52c86eaeb5d01128bb9b7f41dc2a4a1b6e7b6582d5a,"{""backend"":""upmem"",""dpus"":1,""fuse"":true,""geometry"":""panel_only_v1"",""policy"":""split_complex_float32_v1"",""rank_count"":1,""schedule"":""static_dag_waves_v1"",""tasklets"":8,""threads"":1,""transport"":""packed_wave_v1""}",qual_stress_n04_l2
