view,case_id,role,cell_id,median_job_to_state_cached_path_s,raw_mad_cached_s,median_prepared_call_s,count,accuracy_qualified
S,stress_n08_l2,upmem_f32,cell-69a734aece704d27ae0edb7848542303685cfa2bcae5659212d3c3b56b006fad,0.4940721510211006,0.010608605982270092,0.377751788997557,5,True
S,stress_n08_l2,upmem_int8,cell-d044f631516496ce8057a77b4c505322867d0afedd41b1a0a8741daf7b339f30,0.513710347993765,0.005670847021974623,0.3969438220374286,5,True
S,stress_n08_l2,quest32_p8,cell-3e5f86e0a3318942387affeef0f056de53f4de09e1f1ac74804fa27bc4b1ff52,0.006747755978722125,4.1389139369130135e-06,0.006696946977172047,5,True
S,stress_n08_l2,quest32_p1,cell-3ede9fe24ec59bdf8ddc41dddbd0adc851bbff09d2d2913aa2d3e6e0437761f9,0.0006977349403314292,1.9219587557017803e-06,0.0006471219821833074,5,True
S,stress_n08_l2,numpy_f32_p1,cell-7e48e692edc6020f8a3c09318583a4aff9b79138d19b8c018ba25a3c98f7fdcf,0.05602282303152606,0.0005949040059931576,0.01723734097322449,5,True
S,stress_n12_l2,upmem_f32,cell-1a3004b5e92eb607d34d525290b1c1014cca832f526f0a72310dd5312759fc9c,1.0518986509996466,0.007826235028915107,0.7211257659946568,5,True
S,stress_n12_l2,upmem_int8,cell-b0197b2fc36ac2c4649d84828ab0b3766c746afca27bff11c29a2a31305833d4,1.0337543610366993,0.006772488006390631,0.7027545460150577,5,True
S,stress_n12_l2,quest32_p8,cell-15db421f6e892c1d1823cff282d48ac5e804f59c1d7cb5171b60213b7958eb3a,0.010924726957455277,1.982605317607522e-05,0.010858316964004189,5,True
S,stress_n12_l2,quest32_p1,cell-ad537e5e8030cd392162bbc40856ed0a2c5f8d4efe6726562ef8208399f41361,0.0019326219917275012,5.337991751730442e-06,0.0018674330203793943,5,True
S,stress_n12_l2,numpy_f32_p1,cell-568ee3b75425a3697deb8eabdea926a74d6c2d3b7f36c7c5af49339142cd18c3,0.13913089298876002,0.00039642397314310074,0.028850681032054126,5,True
S,stress_n16_l2,upmem_f32,cell-c96439f8b0a3e65d534a99819d453701ca029848eb897ac28af13b5b799c01f7,1.2907407010206953,0.011956086033023894,0.9502070940216072,5,True
S,stress_n16_l2,upmem_int8,cell-73d22bb509850556b99799bce919c5d38639123ae83278af685126952f77252c,1.205162330006715,0.01900478999596089,0.8543751889956184,5,True
S,stress_n16_l2,quest32_p8,cell-274967e0c7f07eafa243d23f7dee8afdef1f49f6399430716501982778c78f1d,0.034621126018464565,2.2154010366648436e-05,0.034539890999440104,5,True
S,stress_n16_l2,quest32_p1,cell-37f3a955661a04ce32a15c05146c5cd558db15e8bf466f0bc7704169dad86f04,0.02257261291379109,1.4085089787840843e-05,0.02249083895003423,5,True
S,stress_n16_l2,numpy_f32_p1,cell-5585de75e63b2548ce34bb043f67a9e304d81335a7ffa98e41959b5e5a3ffe44,0.1533147839945741,0.0011713929707184434,0.039980500005185604,5,True
S,stress_n18_l2,upmem_f32,cell-50798eea17787e5dba8daec8220e359258c5cc0ec8df8d53cada045cbaab9a30,3.8344948919839226,0.029943089990410954,2.3478789500077255,5,True
S,stress_n18_l2,upmem_int8,cell-e320426b871106cf79b23a15de609121a7722efd66f817369d1c2498f3cbd976,3.6478276179987006,0.025855052983388305,2.175288068014197,5,True
S,stress_n18_l2,quest32_p8,cell-bdd9f545576438e1d616809afbb2801ba85c25ddd4f8adfea7a36402aca0e974,0.11248957697534934,3.024493344128132e-05,0.1124039400019683,5,True
S,stress_n18_l2,quest32_p1,cell-257362bc2272c6adda97021aabdded44a765540d81ab4a0626b4bf0556439efc,0.09848296898417175,0.00010799599112942815,0.09839667298365384,5,True
S,stress_n18_l2,numpy_f32_p1,cell-8aa4a7936196294ff15111d5ed6f7fb796267bbca5c1b935c2356525636fd839,0.5608186780009419,0.004608645976986736,0.07420718396315351,5,True
