view,case_id,contrast,baseline,alternative,ratio,descriptive_low,descriptive_high,denominator_time_reduction_percent,paired_blocks
A,bb84_n18,A0_A1_tasklets,A0,A1,3.2309739577465435,3.2200341679602924,3.2899080025486795,69.04958030991206,7
A,bb84_n18,A1_A2_dpus,A1,A2,1.1375164194231981,1.11253085584867,1.1858687678070516,12.089181050496723,7
A,bb84_n18,A2_A3_fusion,A2,A3,1.5874194243315118,1.517359757919957,1.6367074919339897,37.00467660453908,7
A,bb84_n18,A3_A4_dag,A3,A4,1.1035320052992976,1.0767755931017653,1.1346057374057728,9.38187608534452,7
A,bb84_n18,A0_A4_matched_endpoint,A0,A4,6.438248795619609,6.408786942727982,6.606984760854077,84.46782608524899,7
A,bv_n18,A0_A1_tasklets,A0,A1,2.717321984493951,2.673704153701144,2.756817426428889,63.19906121886285,7
A,bv_n18,A1_A2_dpus,A1,A2,0.9971858061935668,0.9733346256085305,1.0435052571403458,-0.28221358436453237,7
A,bv_n18,A2_A3_fusion,A2,A3,1.7744723081253062,1.729980650194589,1.8061761315402312,43.645218050402846,7
A,bv_n18,A3_A4_dag,A3,A4,1.125501807153554,1.1097259694381942,1.1637015691424935,11.150742393826441,7
A,bv_n18,A0_A4_matched_endpoint,A0,A4,5.411686296653022,5.391228150617562,5.491178376773078,81.52147140128075,7
A,edc_n17,A0_A1_tasklets,A0,A1,4.39834425880347,4.32921940494909,4.472721205220796,77.26417167099964,7
A,edc_n17,A1_A2_dpus,A1,A2,1.635390831544946,1.5907527931306775,1.6661417908517553,38.85253722161907,7
A,edc_n17,A2_A3_fusion,A2,A3,1.5270606665496558,1.5049173575794978,1.55366385145212,34.51471693921187,7
A,edc_n17,A3_A4_dag,A3,A4,0.8354023443000554,0.8316161797684002,0.8495753800889553,-19.702800312088332,7
A,edc_n17,A0_A4_matched_endpoint,A0,A4,9.176197615622062,9.129578857120935,9.215931455303572,89.1022399267258,7
A,hs_n18,A0_A1_tasklets,A0,A1,1.9334486820742713,1.8943940677041955,1.9769982550938763,48.278947909433775,7
A,hs_n18,A1_A2_dpus,A1,A2,0.8660941905063726,0.851393180661271,0.875060937066545,-15.460883003422254,7
A,hs_n18,A2_A3_fusion,A2,A3,2.024621875130021,1.9982801870632902,2.088938691830245,50.60806107630443,7
A,hs_n18,A3_A4_dag,A3,A4,1.123500851411756,1.083079631333434,1.133880949404391,10.992501808660727,7
A,hs_n18,A0_A4_matched_endpoint,A0,A4,3.809036249245404,3.73660657418994,3.895481534852802,73.74663997492523,7
A,qrng_n18,A0_A1_tasklets,A0,A1,3.995002899778241,3.9650020770418144,4.268622848459022,74.96872905760571,7
A,qrng_n18,A1_A2_dpus,A1,A2,1.241341545738842,1.1487283111854825,1.257246260377945,19.44199375001151,7
A,qrng_n18,A2_A3_fusion,A2,A3,1.5212923158232448,1.4883948583226583,1.5509134838049212,34.26641352231825,7
A,qrng_n18,A3_A4_dag,A3,A4,1.102458690277209,1.0810059231240352,1.1187907678118507,9.293653465731788,7
A,qrng_n18,A0_A4_matched_endpoint,A0,A4,8.317319533778297,8.137014151479512,8.369922908901616,87.97689573018326,7
A,stress_n16_l2,A0_A1_tasklets,A0,A1,3.153664462749727,3.130955916458376,3.1753121047686426,68.29085618296611,7
A,stress_n16_l2,A1_A2_dpus,A1,A2,1.0621158830868864,1.0519868386184497,1.076871458986569,5.8483150545075695,7
A,stress_n16_l2,A2_A3_fusion,A2,A3,1.9048650144450026,1.8322869712802456,1.9308370925594065,47.50284180680604,7
A,stress_n16_l2,A3_A4_dag,A3,A4,0.9733697507606607,0.9656876018429434,1.0176712339405545,-2.735882147408897,7
A,stress_n16_l2,A0_A4_matched_endpoint,A0,A4,6.210541079155676,6.154936518058538,6.309868470728629,83.89834336083403,7
A,xor_n18,A0_A1_tasklets,A0,A1,2.3818565026520555,2.3307892504396044,2.408086488853991,58.01594265286093,7
A,xor_n18,A1_A2_dpus,A1,A2,1.5781230302238056,1.5535475759309165,1.591581542783478,36.633584273959784,7
A,xor_n18,A2_A3_fusion,A2,A3,1.7403629496514035,1.7129296792114284,1.8022644411533846,42.540721163921525,7
A,xor_n18,A3_A4_dag,A3,A4,0.8970151370810149,0.8803687053958692,0.9036745057718681,-11.48083891361178,7
A,xor_n18,A0_A4_matched_endpoint,A0,A4,5.868080351988725,5.789712083743043,5.9358066906314715,82.958651892674,7
A,six_family_geometric_mean,A0_A4_matched_endpoint,A0,A4,6.247068649713234,,,83.99249222199752,7
W,bb84_n08,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.009610029127713575,0.009402938814021822,0.010964048800302233,-10305.795723513284,5
W,bb84_n12,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.010834104140029947,0.010354557162144486,0.01223824261770405,-9130.112495459509,5
W,bb84_n16,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.01996914706670411,0.019858587702683738,0.02069993313633759,-4907.725150501628,5
W,bb84_n18,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.04559661365078993,0.04231505313086571,0.048261370581292526,-2093.1453235950466,5
W,bb84_n20,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.07422474626715889,0.0689279195943851,0.07679019673368626,-1247.259573512958,5
W,bb84_n22,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.08455778217987953,0.0247378250429631,0.09275554449713683,-1082.6232597641963,5
W,bb84_n24,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.10081784849773744,0.09529463753680248,0.10787444852951188,-891.8878600374437,5
W,bv_n08,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.012767087624765801,0.01235732077272787,0.01426778604695173,-7732.63990497084,5
W,bv_n12,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.014241687966234633,0.013881886311809236,0.015274113843281053,-6921.63958633894,5
W,bv_n16,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.02935287841812242,0.028868391031627066,0.03136275797855459,-3306.820911241882,5
W,bv_n18,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.06818946858300828,0.06464829128640961,0.07088840799754269,-1366.5021165001187,5
W,bv_n20,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.1568800277307193,0.14505166319724738,0.16775715936074748,-537.4297700383349,5
W,bv_n22,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.22506931551944218,0.05540667356432341,0.22732031766216354,-344.3075670675405,5
W,bv_n24,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.2641682512092043,0.2627252650457875,0.264798783662236,-278.5466252748383,5
W,edc_n07,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.0015360048047446046,0.0014925425947308424,0.0016445225343758132,-65003.96301568031,5
W,edc_n11,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.008574469378323938,0.004410555352204346,0.009238004997506207,-11562.529258404924,5
W,edc_n15,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.011619027286380089,0.011208111191188495,0.011984582339160374,-8506.572438057769,5
W,edc_n17,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.016160073778889762,0.01586629342200476,0.016241510400597927,-6088.090559996828,5
W,edc_n19,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.039675733241140966,0.038225554426653444,0.04036148862259987,-2420.4323104054693,5
W,edc_n21,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.06279436387104316,0.062115355849021815,0.06430840570689891,-1492.4996104007632,5
W,edc_n23,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.07486958905959297,0.07429323694465431,0.07511899895227817,-1235.6557883656114,5
W,hs_n08,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.011098288645591986,0.010452298424134861,0.011199474804778363,-8910.398196817305,5
W,hs_n12,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.009548835697535889,0.009428034692676748,0.009712360213496696,-10372.480956584619,5
W,hs_n16,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.020408170766896813,0.020180313334116812,0.020634968998858066,-4799.998198868738,5
W,hs_n18,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.05284664352268109,0.05211214472642804,0.05318468046575165,-1792.2677645001486,5
W,hs_n20,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.14331481997754553,0.13638258504493453,0.1444198408236621,-597.7645439297062,5
W,hs_n22,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.3166399416276557,0.3024046937701062,0.3277607287525742,-215.81612694204048,5
W,hs_n24,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.4972221656432291,0.486531899731431,0.5369280355462682,-101.11734132092738,5
W,qrng_n08,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.010920594506082144,0.009051726705472036,0.011417710632393616,-9057.010632004121,5
W,qrng_n12,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.011030936637097628,0.010239669636086218,0.011328461610861786,-8965.413327069133,5
W,qrng_n16,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.018629222736042998,0.018436574707994983,0.019846774403030086,-5267.91048219765,5
W,qrng_n18,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.044147623043404846,0.04155480907834331,0.044504018784931536,-2165.1276129109483,5
W,qrng_n20,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.06769174300569554,0.06434511914529664,0.0688338978708506,-1377.285050727473,5
W,qrng_n22,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.08278408598952042,0.08141380324188884,0.08299184697189559,-1107.9616366442572,5
W,qrng_n24,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.08881757447345841,0.08765884991873185,0.0914064151812988,-1025.9032977745103,5
W,xor_n08,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.011081386470900845,0.010879855505547776,0.012386340838633037,-8924.141542450026,5
W,xor_n12,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.012046246376970774,0.011268174704472247,0.012635280103678785,-8201.341087558483,5
W,xor_n16,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.024938503909503765,0.024009469353760637,0.02674705132058749,-3909.863637485134,5
W,xor_n18,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.05386263235776173,0.05170588927796607,0.05648487994949585,-1756.5746905162123,5
W,xor_n20,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.11105436979570593,0.10766316229837426,0.11404616874426138,-800.4598394818556,5
W,xor_n22,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.15093192415582968,0.15031556041820723,0.1531399616670312,-562.5503554619431,5
W,xor_n24,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.1741722899690992,0.17339724507404594,0.1747691763072228,-474.1441420890861,5
W,six_family_geometric_mean_q18,quest_p8_vs_upmem_f32,quest32_p8,upmem_f32,0.04299166424001731,,,-2226.032308070513,5
