cell_id,case_id,phase,backend,arm_id,role,planned_slots,issued_slots,success_count,unsupported_count,timeout_count,failure_count,complete,quality_qualified
cell-0080d4585b332bd8e31923971e4ad47b2637aff70e916901de6fab69d5510984,qrng_n18,calibration,upmem,e94f6abc36679c33ec1ed34f6197413e8397711c8c952dc520ebac2214f9ff3a,calibration,6,6,6,0,0,0,True,False
cell-00cc838666e06c32ee9cbe9548f6dcb5f3d5cbfe85e6e9236a08ec28995c8633,qrng_n18,calibration,upmem,2b8e4a9cc20bd089c1aa3301ef04b0d6323d92429ecfb0225019eb4ebb909369,calibration,6,6,6,0,0,0,True,False
cell-01540b52e122495afe0f1e0f9cba755ecca727fea1ac0df92ec7a6175176f733,stress_n16_l2,calibration,upmem,dbca946b82bc3f1285d8db3fafce59aec3b04e03185305d4cf823b0dcf401702,calibration,6,6,6,0,0,0,True,False
cell-025e3b8204291c6c9cf418d39686cfedd7a3f2f53ae40fc22c867809ec2b93e1,edc_n17,calibration,upmem,5a62bf542200bf710caf573838f36d0fd198d6636aa7b6c50f42d3572bc51473,calibration,6,6,6,0,0,0,True,False
cell-02e9ad2877d84b7ad9e1ffa158020475117abe6c9549d52e13b7f9126e117e4e,qrng_n18,calibration,upmem,20c8045b6a202d1fd25525e162bc7e46452b3b39764438e593af95652f3df5a7,calibration,6,6,6,0,0,0,True,False
cell-03199a1db7ef7ca3f5a820d1732d2c6825ccddb3412cf2567ea42e148469d251,qrng_n18,calibration,upmem,6e3d096bf26fc5d85f31f1670950563229bc62e50027c58f94c155d639b8b8c1,calibration,6,6,6,0,0,0,True,False
cell-035be98c8f9191cfdcb505f7cfbc0e9bd52b48eb43b72ed274c2d857f709d02f,qrng_n18,calibration,upmem,331b392a1c3d586bc3d3a4517fd58a67161c6af5a439dd8bcd117b95b5116c45,calibration,6,6,6,0,0,0,True,False
cell-05673e17d0b831dbc1ab6ae6dcd2b400d572e3f7bf3d6318d6b4ac8b04461d2a,stress_n16_l2,calibration,upmem,2b8e4a9cc20bd089c1aa3301ef04b0d6323d92429ecfb0225019eb4ebb909369,calibration,6,6,6,0,0,0,True,False
cell-069fb7dc1d1e4f5b097249e456b30489ef76d1d95ab0476bd9ed6f89ce5760d2,stress_n16_l2,calibration,upmem,f7769c726e555c58cafed9149b45854c14fc7d718766c43b50047c8c5a71e6f3,calibration,6,6,6,0,0,0,True,False
cell-07694497fda7e6dab6611be194a86e2b5e090332bddf012d0dd798176ba2ab03,bv_n18,calibration,upmem,27b62e57038c9a28dce9f5844c37556b2808dc892f3a5401afe82eba05fa54ed,calibration,6,6,6,0,0,0,True,False
cell-098c63a3aa14fd727b444886359706baee3164b9dad72b8bfbc7426df735cdd4,hs_n18,calibration,upmem,7f1d4a33ef36c6275faf29ecea97c8f4794e54748f6e4607e72c16cf07990c4f,calibration,6,6,6,0,0,0,True,False
cell-0a6e26f550cbb721b583b567cc6f79d55469a701ede674715014d157863e4754,hs_n18,calibration,upmem,4de752cd20a626fb5d38c84cd24596f0ac892f43c0338e45c812e3495a28786d,calibration,6,6,6,0,0,0,True,False
cell-0ae24cb9e66533bae6a08c5ae50ea3cf02753a53c9ecd7f0681a14b53b4829c6,xor_n18,calibration,upmem,828f0ad95ec8d00d9d3dba73c6a3057d822b8f90f1014a9a96d1c83681eb953d,calibration,6,6,6,0,0,0,True,False
cell-0b86a2da7220eb78201bd1f0527b6e2320e7e9ebd6da708169790c13d8ba91d4,ghz_n18,calibration,upmem,8880c53b3a27d74ecc95016a53311eb9d495eecb2968a9189fc6e0d7019acba0,calibration,6,6,6,0,0,0,True,False
cell-0bd687748b8a5cb1662433a7aa07f932cde6ea81e14a56df76c0654b4eaa19b0,bv_n18,calibration,upmem,2b8e4a9cc20bd089c1aa3301ef04b0d6323d92429ecfb0225019eb4ebb909369,calibration,6,6,6,0,0,0,True,False
cell-0ed5739e09a3788e06add0b2956129ba25736e1a8787942dd358ea2f990fbcbe,hs_n18,calibration,upmem,c8d83617187702ca6bdf030b2c3ee00db58f0d28a8d536059f9c54097e067190,calibration,6,6,6,0,0,0,True,False
cell-0eefead232cd5c4e5e185ded57f69eae72ff746074ce1e7d92cd47c33db74851,xor_n18,calibration,upmem,2fa411127cd5d818380604c2b191da4707d8a8f733bc834e8991b59f3dd5e897,calibration,6,6,6,0,0,0,True,False
cell-10a546a86f20a86a342e022f8cb21e4968ddbbc83ede6ec453f3ae8b6409284c,edc_n17,calibration,upmem,ec610867a4d972311e7e8488e53d4dbebf8ba704570caee5761a91ae9bcd3e46,calibration,6,6,6,0,0,0,True,False
cell-10f4a5b20157edf563c48f546fa15f437c6a8c69cdce824a39bf84a8d1c3add1,edc_n17,calibration,upmem,331b392a1c3d586bc3d3a4517fd58a67161c6af5a439dd8bcd117b95b5116c45,calibration,6,6,6,0,0,0,True,False
cell-119537c0c1d2f47cd180a6aace4f45e741f69ae190e1b91840444837d4ff4882,bb84_n18,calibration,upmem,fce085219b1c27d878bfc98d0548813c7213b26a19b57f8282eee434946e3e23,calibration,6,6,6,0,0,0,True,False
cell-11f641a0a0583579fbe992da71fbe792ccac8413ed4f623292516202998e0577,qrng_n18,calibration,upmem,26d383578cf3bdc75d6e47da6e0024efb05ac8a55653eda872e3df3a1ac2cbba,calibration,6,6,6,0,0,0,True,False
cell-126b61ae3d77f074a408c6e7f792e952c10e9f99a0becf6f171f7d04d05847d1,bv_n18,calibration,upmem,e4e0e687ccdb15f5a8d7f61f78364c246f0606bf598100d2f64a830b0b263b53,calibration,8,8,8,0,0,0,True,False
cell-128a03d27a53e2ef477447e22d2b9c56f6d950db52099597f69373743fc9f90a,bv_n18,calibration,upmem,be81183e6d130ece72190f9176126a70d37731ee25893f68d1c49a2e8e15b57a,calibration,6,6,6,0,0,0,True,False
cell-133afcdcb9fa34a6a6de42957d13828ae28575e5d53e58c55714a4d0c9800322,edc_n17,calibration,upmem,f7769c726e555c58cafed9149b45854c14fc7d718766c43b50047c8c5a71e6f3,calibration,6,6,6,0,0,0,True,False
cell-141b07ecf76db8a6dac851920dc983a7acaad215ae9a7cdc3b3cbbf7f72db881,qrng_n18,calibration,upmem,304a8dfac62b65c63a65cc648c99e36178312daebe5c835400ae9691934d9eb5,calibration,6,6,6,0,0,0,True,False
cell-147d732ef83723f0563fe6520b8d743d477f72bbbd09029550b06bdffa9b5b4e,stress_n16_l2,calibration,upmem,0614d89b69a0cbbb1eeec6e51841ad485b9173655a84e785f5238aaf580fe6b6,calibration,6,6,6,0,0,0,True,False
cell-1502b09b7a622b362b18ba19df114efe94cb66c73a73e13ea9baa97d91ba9aa0,hs_n18,calibration,upmem,26d383578cf3bdc75d6e47da6e0024efb05ac8a55653eda872e3df3a1ac2cbba,calibration,6,6,6,0,0,0,True,False
cell-1576540bc9eddf62742fbd58f0b7654291b8f8d3bed5a913998540fcbf706f4c,edc_n17,calibration,upmem,0614d89b69a0cbbb1eeec6e51841ad485b9173655a84e785f5238aaf580fe6b6,calibration,6,6,6,0,0,0,True,False
cell-15e53a1bc79558087639bbb1e781f9019af28c76305e279401e7e1be33b746f3,ghz_n18,calibration,upmem,46b9da7ab5f820bd2c2c60ccce1213119fc7130826ccef930cd7992522430b23,calibration,6,6,6,0,0,0,True,False
cell-1660b0baf87b188d6fbd40b87bffa7c07e4ea6b3e75c423444ee08976c3ba72e,hs_n18,calibration,upmem,500337d491059f285a742b22fc3410f6a578fd63dc4d0f52030103cab63ec015,calibration,6,6,6,0,0,0,True,False
cell-174e6da86e3e9c6b6aa429b9980b394d1565312f4b0528300b760b7e37eaddb8,xor_n18,calibration,upmem,41a81d7925a3c66646b16df3f8f555878fed40a48542a39146597d62c3e210f9,calibration,6,6,6,0,0,0,True,False
cell-18c0e479a5b8de80fc5fd98d6646f29e7b160606606ff865fb605d735ab689f2,stress_n16_l2,calibration,upmem,ecf95fdab372ba8ec6b1b3d7a72fa3b3f1c10533823a80917559477cc61f32d4,calibration,8,8,8,0,0,0,True,False
cell-1918a1bb0f6a9228b5982f14a9983487e2f522e808760b3caa6f46182a4ebb67,qrng_n18,calibration,upmem,500337d491059f285a742b22fc3410f6a578fd63dc4d0f52030103cab63ec015,calibration,6,6,6,0,0,0,True,False
cell-19d87aaf3f61443d06f0c24e1c2013ee83dab3239030593eabbf66d4df4fcfa0,ghz_n18,calibration,upmem,27b62e57038c9a28dce9f5844c37556b2808dc892f3a5401afe82eba05fa54ed,calibration,6,6,6,0,0,0,True,False
cell-19daf5042203b27f314452e5fc20225b0d2b36f132ca7e1e136c567ea37a7f6a,stress_n18_l2,calibration,upmem,8d3e6a2dcb9e27817d946a007935c4c6ab5423325451eb368683fa777b1a339a,calibration,6,6,6,0,0,0,True,False
cell-19e801741b6d9478a56f5e7948f34c149a48258ab4445b2d2b5dbb7dcefd72e9,edc_n17,calibration,upmem,db693aa2ee993965334a0d8bcf3cf527acd8986bf65459f4cdeabab303dd52cd,calibration,6,6,6,0,0,0,True,False
cell-1a19043061dc35ee3cd230d9d588503c5ef5cef2ed58abaca8ac06d711465bda,bv_n18,calibration,upmem,331b392a1c3d586bc3d3a4517fd58a67161c6af5a439dd8bcd117b95b5116c45,calibration,6,6,6,0,0,0,True,False
cell-1a1c668a42a425e92f9bc474f5e55ed9ff7d390415bd647dde80de191a25cea5,qrng_n18,calibration,upmem,9325ee6b03e0b53c415f282743785873b0ac01f1e38f8668bdf832fa84e3b409,calibration,8,8,8,0,0,0,True,False
cell-1aa2c1c34aa6e272efaed3c4e6b382baaad2f787e5a72a795e06bf1bfd591fa1,ghz_n18,calibration,upmem,61fb5254f03558c44f72d70c7e3bd0b449e30cc4b75fdeec49262f5580b6c5fe,calibration,6,6,6,0,0,0,True,False
cell-1b9d88860dc1ae632b124cf206767d8997f7e2d1eeb66942d1f5123ea055c07a,bv_n18,calibration,upmem,b40d2a979f64a3b3ab05f38150d4b2839689d7d7260c4c652b0ef0a7dad60c6a,calibration,6,6,6,0,0,0,True,False
cell-1d24c68be5191bb1e50adda9fd660742815cea145f30ae303e14292c195f43bc,bb84_n18,calibration,upmem,41a81d7925a3c66646b16df3f8f555878fed40a48542a39146597d62c3e210f9,calibration,6,6,6,0,0,0,True,False
cell-1d597d23c15dd0551203e7f7820f9e792320b9fa8cbce3c03acd395043fe7804,bv_n18,calibration,upmem,0614d89b69a0cbbb1eeec6e51841ad485b9173655a84e785f5238aaf580fe6b6,calibration,6,6,6,0,0,0,True,False
cell-1dde1e724a2bdd2230f2f15ed21fefa8533c7ef7e4d450414f95801065033f3c,edc_n17,calibration,upmem,ecf95fdab372ba8ec6b1b3d7a72fa3b3f1c10533823a80917559477cc61f32d4,calibration,8,8,8,0,0,0,True,False
cell-1eae6d099a1a67c84c5c69eb168bb55b0113d37941e776a961744db147b34722,stress_n16_l2,calibration,upmem,f857597b48a921070e9eea4a11aa7a14f11f2a3c63985d5c1e578a22aa0ce52b,calibration,6,6,6,0,0,0,True,False
cell-1ecd50fb53ab8b81de7b4edafbca637a05b50837f567d494ea7ab719b544f281,bb84_n18,calibration,upmem,9325ee6b03e0b53c415f282743785873b0ac01f1e38f8668bdf832fa84e3b409,calibration,8,8,8,0,0,0,True,False
cell-1f71fc05f932f918f41d050686193138d3a155c428ac1aada388f506b5f28647,stress_n16_l2,calibration,upmem,29481df23b1b357717368d6284c913f33919ba722596e0c03fdf057ced715fa8,calibration,6,6,6,0,0,0,True,False
cell-209d6ee29d91f68e6e901b5ce6c153418585520ff9cd7e56837b77916c76cfcf,qrng_n18,calibration,upmem,29481df23b1b357717368d6284c913f33919ba722596e0c03fdf057ced715fa8,calibration,6,6,6,0,0,0,True,False
cell-20f030b1d877b1b931978161fc431edfd37f51bf58e78d734b722236a0fabd07,edc_n17,calibration,upmem,29481df23b1b357717368d6284c913f33919ba722596e0c03fdf057ced715fa8,calibration,6,6,6,0,0,0,True,False
cell-213d0e5f374fbd219806c2a749d4ddfc4dc9c9048b219e774996de590325196b,bb84_n18,calibration,upmem,be81183e6d130ece72190f9176126a70d37731ee25893f68d1c49a2e8e15b57a,calibration,6,6,6,0,0,0,True,False
