case_id,family,layers,n,role,width_slot,tensor_count,node_count,gate_depth,largest_intermediate_elements,sum_intermediate_elements,working_bound_bytes,full_state_c64_bytes,full_state_c128_bytes,path_id,logical_plan_id,gate_counts,optimized_flops,planner_status,input_source_id,source_row,gate_count,statevector_mib,real_macs,data_qubits,ancilla_qubits
bb84_n08,bb84,1,8,width,8,16,15,2,256,320,1073765888,2048,4096,6b85406c92a0d17e5a1b9ef0c530d46a7056c4c4d460a40308c44b03ce31ba60,5af26343b2d9d893f24be19038b8c582ffb5c693670a85bb6e923ec8300b04e5,"{""h"": 4, ""x"": 4}",368.0,completed,final_circuits,2,8,0.001953125,1344,8,0
bb84_n12,bb84,1,12,width,12,24,23,2,4096,4448,1074083072,32768,65536,a78037e132c1272f0fe087f371ba537750007f3e8dc07f9e296af4062627f3b7,1013d565766f91a38887fd7ef29c3734d2a8266aeb86d2fb0deff73be30e57fc,"{""h"": 6, ""x"": 6}",4520.0,completed,final_circuits,3,12,0.03125,17888,12,0
bb84_n16,bb84,1,16,width,16,32,31,2,65536,66176,1079008256,524288,1048576,1401d9b8563000e1c061f196c2947ff03f3844bdbef89e554117412e0b9278c4,93350de7f8c2e83f5a7bb78725a289b1461ea6007695f6028f8d3ec751dd564b,"{""h"": 8, ""x"": 8}",66272.0,completed,final_circuits,4,16,0.5,264832,16,0
bb84_n18,bb84,1,18,width,18,35,34,2,262144,263622,1094763968,2097152,4194304,279f66113abf95a242f128d45c70b065e67cf9f2de490a9fa4f94764ca3aaebf,a51d1338c9bb41075091dc4992df1d992b2c6b8c6fec2b6a2be38d56eae87d9b,"{""h"": 8, ""x"": 9}",263724.0,completed,final_circuits,5,17,2.0,1054624,18,0
bb84_n20,bb84,1,20,width,20,40,39,2,1048576,1053344,1157784320,8388608,16777216,1fcb95546c384305cc7972133bf17bad9d06bef8433ed557d741beadc2c23d55,649296bf0e5e39cd56514828bbfb46a3c526a2bd4e7b0924fc0e7655fbe98f5e,"{""h"": 10, ""x"": 10}",1053464.0,completed,final_circuits,6,20,8.0,4213536,20,0
bb84_n22,bb84,1,22,width,22,43,42,2,4194304,4211430,1409838272,33554432,67108864,f0aa8218d1506ef3cf28d95f5afe0320a2dfa9432db996cd8ca53c5196104041,03a2cc9c8d6edcd3c52e94f46ebc958c9c781a19a7767357413cc4418518a0e0,"{""h"": 10, ""x"": 11}",4211556.0,completed,final_circuits,7,21,32.0,16845888,22,0
bb84_n24,bb84,1,24,width,24,48,47,2,16777216,16843712,2418051584,134217728,268435456,dd5c262714a23cfc6d14003b14690443a13a0008a8aac36b2c9864b6e7ca54e5,211658cbec7c13b4e3a8500c7277fb3c3bf1ac9aaa6795ddca13b6f77adaaafa,"{""h"": 12, ""x"": 12}",16843856.0,completed,final_circuits,8,24,128.0,67375040,24,0
bb84_n26,bb84,1,26,width,26,51,50,2,67108864,67176198,6444610496,536870912,1073741824,e4d53cfc65638a1c9e5cd3e4f7ab2039511c9cfec7c1731dc43bd68cef68cad2,866220331990635d0f07b477826d34d15df3050659669526eecfba4d9df16b05,"{""h"": 12, ""x"": 13}",67176348.0,completed,final_circuits,9,25,512.0,268704992,26,0
bv_n08,bv,1,8,width,8,28,27,7,256,412,1073771904,2048,4096,f39007e449efee3fe0074bf68dbb9891810715131ba3c326235921192bb7bd19,0d1c0b8bf59e76fc3ff1ad6b5636d41cb06ce335d33049bd82d9bf3e1037e577,"{""cx"": 4, ""h"": 15, ""x"": 1}",844.0,completed,final_circuits,10,20,0.001953125,2224,7,1
bv_n12,bv,1,12,width,12,42,41,9,4096,4476,1074088576,32768,65536,66ebe2c6535a24c3accc1d1e5a1652ccc87282e96b146f22995298547128c0cf,eda0ec4bc8a6b0d1dc412318d8927522499a0b6eb473cf9ac79022584bd03495,"{""cx"": 6, ""h"": 23, ""x"": 1}",5472.0,completed,final_circuits,11,30,0.03125,19232,11,1
bv_n16,bv,1,16,width,16,56,55,11,65536,66556,1079026560,524288,1048576,57bfdb9a212db1cc25e4ab2ccb1dbd517d2f66573ca80b611b6b300fdc8190fe,1c32ee47d592409715533f8dc33fe001e2d454256e44aac57e717ebbdce25570,"{""cx"": 8, ""h"": 31, ""x"": 1}",69124.0,completed,final_circuits,12,40,0.5,269648,15,1
bv_n18,bv,1,18,width,18,63,62,12,262144,263902,1094779968,2097152,4194304,728e0b45fb92c3e79b9572501006fb3dbccc4143c178d5090c185fc01da33a89,6d0a5e6c34977c0bda562490fdb2dba3ecd0854efbad95eeb9ad3cbbeb93aef6,"{""cx"": 9, ""h"": 35, ""x"": 1}",268264.0,completed,final_circuits,13,45,2.0,1061424,17,1
bv_n20,bv,1,20,width,20,70,69,13,1048576,1051788,1157742208,8388608,16777216,ed31553b17fe9fc460f22b5686d26b0cc92ea20a6d972a671704c5e5e9dfa2c2,fb648c2021a9119958ab94a427399b7f59c19c1cef393398e4fa974a0edd1563,"{""cx"": 10, ""h"": 39, ""x"": 1}",1059672.0,completed,final_circuits,14,50,8.0,4217664,19,1
bv_n22,bv,1,22,width,22,77,76,14,4194304,4200270,1409489728,33554432,67108864,8e519ee129fccbbca49d3fe00b53c7f65ff05879b55149945d04f3e91d0fb1aa,e118d6a3c0b9e3903985f9671b0a3573224cc439183ee6aa876b8a18286a3235,"{""cx"": 11, ""h"": 43, ""x"": 1}",4214748.0,completed,final_circuits,15,55,32.0,16820384,21,1
bv_n24,bv,1,24,width,24,84,83,15,16777216,16788652,2416298880,134217728,268435456,4badcf7fbd663ae2c3b7467804fc39263c95d8a81d04e00cabfc9d8d0e0a3185,d504af50e13ef73fee0c9544cdd5bbda349b4cdf583d62e7f98b1914382c63d7,"{""cx"": 12, ""h"": 47, ""x"": 1}",16816252.0,completed,final_circuits,16,60,128.0,67191408,23,1
bv_n26,bv,1,26,width,26,91,90,16,67108864,67130958,6443172928,536870912,1073741824,5ab7d9b71c0db8f7a53facdb3e6e496b5ca12f0c8a6efa3a4ba6ab0b14c94d15,ecba2d04ed72c8177ec0d6eff86b23ff57e6bfa191731b5e4dda0c30237aa619,"{""cx"": 13, ""h"": 51, ""x"": 1}",67183968.0,completed,final_circuits,17,65,512.0,268594512,25,1
edc_n07,edc,1,7,width,8,18,17,10,128,550,1073770880,1024,2048,e1a4d11123e59a09dc4794c9230cc1450b63f2a1ed8619d5392582f31ac12e56,0de1cfae8279eb100953112a8cce677bb93c9635346dce29ab29be1663454aae,"{""cx"": 9, ""ry"": 1, ""x"": 1}",3096.0,completed,final_circuits,18,11,0.0009765625,6192,4,3
edc_n11,edc,1,11,width,12,28,27,16,2048,4406,1073989760,16384,32768,b454a202dc83dc4bb62ffc685cc7d0a8a7cb3527b595aa013916a0b84cdfcf02,90631fd56ab305ccd10c32407cd175cb80b59643bd08c46d48f5e58038bdf3ac,"{""cx"": 15, ""ry"": 1, ""x"": 1}",79576.0,completed,final_circuits,19,17,0.015625,159152,6,5
edc_n15,edc,1,15,width,16,38,37,22,32768,45542,1076784000,262144,524288,a3831e79cfe3b51548a6016f6337ffb5f743f2179116134740926dd657e8dcad,1f2c69ebfe13fba03e5cf3253e5902a7e8591b99640007cf0f8d22142b1b9c57,"{""cx"": 21, ""ry"": 1, ""x"": 1}",634776.0,completed,final_circuits,20,23,0.25,1269552,8,7
edc_n17,edc,1,17,width,18,43,42,25,131072,372934,1091980800,1048576,2097152,afca8358f738fd334b546cf81b8de8f4a1af8d733017ecb89bafcd1c1f09f482,8e353bad878dad2b0ebe17d7e503887447250fdd624101d1974d7a6f3e7e7af9,"{""cx"": 24, ""ry"": 1, ""x"": 1}",3909400.0,completed,final_circuits,21,26,1.0,7818800,9,8
edc_n19,edc,1,19,width,20,48,47,28,524288,552726,1116610176,4194304,8388608,b1a076a8b8d50c27b0fcd3cd732b07fc16d68f14a43ca9fd4ef3d864d1b7af88,b4eb529e0893c40408f44d60ddeaf68c7525d4d6caeb51cd7d1bd0127c8ce309,"{""cx"": 27, ""ry"": 1, ""x"": 1}",8607832.0,completed,final_circuits,22,29,4.0,17215664,10,9
edc_n21,edc,1,21,width,22,53,52,31,2097152,2142374,1242978048,16777216,33554432,1aa8b1dd65b542770947913e0f7178dbc70cd935707261ab547a89644bbc6171,125b807e394c07d44c739fff0529f2e64c69036123e2de036d6ba40dc412deef,"{""cx"": 30, ""ry"": 1, ""x"": 1}",33907352.0,completed,final_circuits,23,32,16.0,67814704,11,10
edc_n23,edc,1,23,width,24,58,57,34,8388608,9560262,1782342016,67108864,134217728,27f486a2429a4469a787eaa22730752a7c4dd3d7b75f8efce4420835194672a3,c8640202fdd8fe417d3e2cc1af1b091ed38e2f337dc227ce11896b3885fb719b,"{""cx"": 33, ""ry"": 1, ""x"": 1}",143518488.0,completed,final_circuits,24,35,64.0,287036976,12,11
edc_n25,edc,1,25,width,26,63,62,37,33554432,39706534,3954983936,268435456,536870912,f4f576ecd5ad905b7cddf7a217e3cf0c625d6bf309c4de6ada102a85153b3ac6,263038cf7655f1481d1432f997ebf7601633da2a87372b11d14f878d54cf6727,"{""cx"": 36, ""ry"": 1, ""x"": 1}",584966808.0,completed,final_circuits,25,38,256.0,1169933616,13,12
hs_n08,hs,1,8,width,8,64,63,9,256,712,1073787648,2048,4096,2ba4bf21ccc7a36cc0e150b807ab1a4bffa9f02c9651c7792841448ebb62e535,3084aa0041d28aa09dfc25f631ef8f480da1672e410347819c66ddccd0d2f8c2,"{""cx"": 8, ""h"": 40, ""x"": 8}",2048.0,completed,final_circuits,26,56,0.001953125,4672,8,0
hs_n12,hs,1,12,width,12,96,95,9,4096,5036,1074115712,32768,65536,d083f2499ae9b7a1af572386478e8204567a954f24c905550623ff3d059419ab,e275aa2830b6ca31542712b4979d00510f54f1927cd8774720516035390f8270,"{""cx"": 12, ""h"": 60, ""x"": 12}",7040.0,completed,final_circuits,27,84,0.03125,22880,12,0
hs_n16,hs,1,16,width,16,128,127,9,65536,66960,1079051776,524288,1048576,19f76adc27a3c08e931c6225565e557b6e558fbc76cde809300a45d59c0bff78,ee4bdcc03f2d276c01b6508b071df9d18828ccdbd68a69ac783a2f4bb8cf2704,"{""cx"": 16, ""h"": 80, ""x"": 16}",69632.0,completed,final_circuits,28,112,0.5,271488,16,0
hs_n18,hs,1,18,width,18,144,143,9,262144,264506,1094813120,2097152,4194304,f2313acb842ed8660729bf3a82bcdbfc619d7df832e23756a188a10b1d69fa9b,6ee3acd7fd14d39722f032a24e3d9d4638685ab2ce55dc808bb8671201b5be03,"{""cx"": 18, ""h"": 90, ""x"": 18}",267512.0,completed,final_circuits,29,126,2.0,1062128,18,0
hs_n20,hs,1,20,width,20,160,159,9,1048576,1054324,1157838720,8388608,16777216,7fdaec14cc6e94d7654d24ecfa5d0c8936f7d12de79633f7e10edc97bc9a16a1,6f84520fb5993649e79f197f8fb807ab122444920cbf81783483d5d57f126257,"{""cx"": 20, ""h"": 100, ""x"": 20}",1057664.0,completed,final_circuits,30,140,8.0,4221856,20,0
hs_n22,hs,1,22,width,22,176,175,9,4194304,4212510,1409898304,33554432,67108864,a325e780ddb917f957ffcba96ca0698e5755a08c5fa893c80ae5cd0a08a1a545,a5dcf564c586cbd1c831c75c66af07f9398daf5cb12b0d4984c87ea515673238,"{""cx"": 22, ""h"": 110, ""x"": 22}",4216184.0,completed,final_circuits,31,154,32.0,16855056,22,0
hs_n24,hs,1,24,width,24,192,191,9,16777216,16844888,2418116864,134217728,268435456,587bf5539a58975a40d6c4b846cac10b046a07ce190bd2e6ecd0372dbc52489c,c24773eb977c6f5d085c4b825e0a18997ac18b8a8de4499995bb0f99c196ba24,"{""cx"": 24, ""h"": 120, ""x"": 24}",16848896.0,completed,final_circuits,32,168,128.0,67385024,24,0
hs_n26,hs,1,26,width,26,208,207,9,67108864,67177474,6444681408,536870912,1073741824,ddeee99f6b46ca072edbcfac53a1ad5eccad4b07253c6ce28b7bd59e3d4ab251,10d809dafd142ccdb406d8ee553c650cd6cfab9fcec2da46610053362e713bd5,"{""cx"": 26, ""h"": 130, ""x"": 26}",67181816.0,completed,final_circuits,33,182,512.0,268715824,26,0
qrng_n08,qrng,1,8,width,8,16,15,1,256,320,1073765888,2048,4096,b34e4d5d8b4db91af96757c326b19dc39bb1714f26056f6081b33622c0763a9f,413eb3944821ad4e7f2d59e969b35957a1c8c1fa507dab70d321c337f0314252,"{""h"": 8}",368.0,completed,final_circuits,34,8,0.001953125,1344,8,0
qrng_n12,qrng,1,12,width,12,24,23,1,4096,4448,1074083072,32768,65536,881642b4bd66a491e2ed66a137aa79e203ca727e76f7bbf2b1bad057d9dd8af2,d73c2a5cfe78b27190875ef6594d441b0aa4365422e40f4c8240db3f23cb49f1,"{""h"": 12}",4520.0,completed,final_circuits,35,12,0.03125,17888,12,0
qrng_n16,qrng,1,16,width,16,32,31,1,65536,66176,1079008256,524288,1048576,b737f75d6823c1f6f8bbeca83b362f1ce4fd66d2d997ad9b07e6727c3d15d610,ca73515391c15869486ddd86c5b95a57b7791111af26c7c09edde926973b5478,"{""h"": 16}",66272.0,completed,final_circuits,36,16,0.5,264832,16,0
qrng_n18,qrng,1,18,width,18,36,35,1,262144,263624,1094764160,2097152,4194304,ec7e770c03d8ee492d7114e8aefe9c36a85a1a5d38caee67a26ef3e68864b612,c8abd6929611b497f24d37cab5fe5f98fa356df6c20157bcf0dd58e7dbfd47e1,"{""h"": 18}",263732.0,completed,final_circuits,37,18,2.0,1054640,18,0
qrng_n20,qrng,1,20,width,20,40,39,1,1048576,1053344,1157784320,8388608,16777216,eb34381a16a3a67cb2cc0164cd5c5ecd5b8ea274c82940faf6e5669a9892b7e5,70268e08f24314b1cb8e59b0f52fc718ee960d9c32ddcbd3f7eb5bc6063ca47a,"{""h"": 20}",1053464.0,completed,final_circuits,38,20,8.0,4213536,20,0
qrng_n22,qrng,1,22,width,22,44,43,1,4194304,4211432,1409838464,33554432,67108864,4007f78e8c21d07fbd0f09dc97d2de3666495abe0eaed218ba7ff8be42e970f8,14097585c8eddff2ae0cea104dcc977fd1231d6102880da2362d264b6119323f,"{""h"": 22}",4211564.0,completed,final_circuits,39,22,32.0,16845904,22,0
qrng_n24,qrng,1,24,width,24,48,47,1,16777216,16843712,2418051584,134217728,268435456,5a451194c85cb248d83eb77a6e4086aca506fb78fbe93ee3f695a8ea90aca6dc,f5df7e2951bc1fc21e05e0ffe4a515815b71da560656882db8d5ea4b2d4047b8,"{""h"": 24}",16843856.0,completed,final_circuits,40,24,128.0,67375040,24,0
qrng_n26,qrng,1,26,width,26,52,51,1,67108864,67176200,6444610688,536870912,1073741824,5c306a57fe73daad2e9453dc6ace8d854e111e29585dd3676803c8b8946622d5,a708a732a360628a704f960f3dd0e5f3f1e6685a39d7b13c07f9266d0b5900c3,"{""h"": 26}",67176356.0,completed,final_circuits,41,26,512.0,268705008,26,0
stress_n16_l2,stress,2,16,ablation_resource,16,126,125,22,65536,89150,1079766976,524288,1048576,7ee153aefaefc83c5650c67aff97768fbafe30526aff7c4beadc4c0479db9921,d489edba75d22a96543ee1960bb4b800922f3240de64b4b60327ebd5eae70e12,"{""cx"": 30, ""h"": 32, ""rz"": 48}",707672.0,completed,final_circuits,42,110,0.5,1415344,16,0
xor_n08,xor,1,8,width,8,22,21,8,256,530,1073776064,2048,4096,c07c49438976937f16dd866db3b637dee9b3083ec1280c173c75a6c977d65667,f80260a6994684438d100dc8a21edaef0170aededda349a99e632ee6e2aade97,"{""cx"": 7, ""h"": 7}",2120.0,completed,final_circuits,43,14,0.001953125,4240,7,1
xor_n12,xor,1,12,width,12,34,33,12,4096,7002,1074170304,32768,65536,18cf9b22e6c361080950be434ab35202c2c3ecb9485ab0792a09a59c390c0771,c27be674144bdae7f5bb19ce172ae9bf1f4366410b50b52245ff7ed15ec1f2a5,"{""cx"": 11, ""h"": 11}",28008.0,completed,final_circuits,44,22,0.03125,56016,11,1
