family,arm_id,largest_fully_measured_qubits,claim,input_source_id,source_row,largest_planned_qubits,unqualified_points,admission_records,boundary
bb84,numpy_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,2,18,,[],declared grid ended
bv,numpy_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,3,18,,[],declared grid ended
edc,numpy_p1,17,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,4,17,,[],declared grid ended
hs,numpy_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,5,18,,[],declared grid ended
qrng,numpy_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,6,18,,[],declared grid ended
xor,numpy_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,7,18,,[],declared grid ended
bb84,quest32_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,8,18,,[],declared grid ended
bv,quest32_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,9,18,,[],declared grid ended
edc,quest32_p1,17,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,10,17,,[],declared grid ended
hs,quest32_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,11,18,,[],declared grid ended
qrng,quest32_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,12,18,,[],declared grid ended
xor,quest32_p1,18,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,13,18,,[],declared grid ended
bb84,quest32_p8,26,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,14,26,,[],declared grid ended
bv,quest32_p8,26,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,15,26,,[],declared grid ended
edc,quest32_p8,25,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,16,25,,[],declared grid ended
hs,quest32_p8,26,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,17,26,,[],declared grid ended
qrng,quest32_p8,26,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,18,26,,[],declared grid ended
xor,quest32_p8,26,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,19,26,,[],declared grid ended
bb84,upmem_d64_t24_static_dag_waves_v1_1_f32,24,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,20,26,26,"[{""capability"":""prepared_wave_snapshot_limit"",""case_id"":""bb84_n26"",""reason"":""unsupported execution at preflight: prepared cohort dag_cohort:5:contract_batch: wave result exceeds the 512-MiB snapshot admission limit (prepared_wave_snapshot_limit)"",""status"":""unsupported""}]",observed admission boundary
bv,upmem_d64_t24_static_dag_waves_v1_1_f32,24,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,21,26,26,"[{""capability"":""prepared_wave_snapshot_limit"",""case_id"":""bv_n26"",""reason"":""unsupported execution at preflight: prepared cohort dag_cohort:11:contract_batch: wave result exceeds the 512-MiB snapshot admission limit (prepared_wave_snapshot_limit)"",""status"":""unsupported""}]",observed admission boundary
edc,upmem_d64_t24_static_dag_waves_v1_1_f32,23,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,22,25,25,"[{""capability"":""prepared_wave_snapshot_limit"",""case_id"":""edc_n25"",""reason"":""unsupported execution at preflight: prepared cohort dag_cohort:14:contract_batch: wave result exceeds the 512-MiB snapshot admission limit (prepared_wave_snapshot_limit)"",""status"":""unsupported""}]",observed admission boundary
hs,upmem_d64_t24_static_dag_waves_v1_1_f32,24,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,23,26,26,"[{""capability"":""prepared_wave_snapshot_limit"",""case_id"":""hs_n26"",""reason"":""unsupported execution at preflight: prepared cohort dag_cohort:10:contract_batch: wave result exceeds the 512-MiB snapshot admission limit (prepared_wave_snapshot_limit)"",""status"":""unsupported""}]",observed admission boundary
qrng,upmem_d64_t24_static_dag_waves_v1_1_f32,24,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,24,26,26,"[{""capability"":""prepared_wave_snapshot_limit"",""case_id"":""qrng_n26"",""reason"":""unsupported execution at preflight: prepared cohort dag_cohort:5:contract_batch: wave result exceeds the 512-MiB snapshot admission limit (prepared_wave_snapshot_limit)"",""status"":""unsupported""}]",observed admission boundary
xor,upmem_d64_t24_static_dag_waves_v1_1_f32,24,"largest qualified point in declared grid, not maximum supported circuit",final_largest_tested,25,26,26,"[{""capability"":""prepared_wave_snapshot_limit"",""case_id"":""xor_n26"",""reason"":""unsupported execution at preflight: prepared cohort dag_cohort:13:contract_batch: wave result exceeds the 512-MiB snapshot admission limit (prepared_wave_snapshot_limit)"",""status"":""unsupported""}]",observed admission boundary
