suite,case_id,arm_id,backend,dpus,fuse,geometry,policy,schedule,tasklets,threads,component,median_per_sample_share,raw_mad_share,source_rows
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,1,1,session_open_s,0.014151505186435499,0.00012185829785041,3;4;5;6;7;8;9
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,1,1,steady_s,0.9855719237032315,0.00013516779639144438,3;4;5;6;7;8;9
A,edc_n17,upmem_d1_t1_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,1,1,session_close_s,0.0002754689034430067,9.144662155798338e-06,3;4;5;6;7;8;9
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,session_open_s,0.06335204087272105,0.0011369799545925957,11;12;13;14;15;16;17
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,steady_s,0.9352932603628734,0.001026157410857098,11;12;13;14;15;16;17
A,edc_n17,upmem_d1_t8_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,session_close_s,0.001206334501034356,1.9299876038695327e-05,11;12;13;14;15;16;17
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,upmem,4,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,session_open_s,0.10729376307540045,0.0008560530086651891,19;20;21;22;23;24;25
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,upmem,4,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,steady_s,0.8910287191720064,0.0006815146910988945,19;20;21;22;23;24;25
A,edc_n17,upmem_d4_t8_serial_nodes_v1_0_f32,upmem,4,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,session_close_s,0.0018311325809353,8.369302995896578e-05,19;20;21;22;23;24;25
A,edc_n17,upmem_d4_t8_serial_nodes_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,session_open_s,0.14371674843003568,0.001765784526767622,27;28;29;30;31;32;33
A,edc_n17,upmem_d4_t8_serial_nodes_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,steady_s,0.8534318285163385,0.0019739488912693393,27;28;29;30;31;32;33
A,edc_n17,upmem_d4_t8_serial_nodes_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,8,1,session_close_s,0.0025666242685740896,0.00010398771403569932,27;28;29;30;31;32;33
A,edc_n17,upmem_d4_t8_static_dag_waves_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,session_open_s,0.15436200890312593,0.0014606578309321605,35;36;37;38;39;40;41
A,edc_n17,upmem_d4_t8_static_dag_waves_v1_1_f32,upmem,4,True,panel_only_v1,split_complex_float32_v1,static_dag_waves_v1,8,1,steady_s,0.8436398406978742,0.0012579109730449511,35;36;37;38;39;40;41
