suite,case_id,family,n,arm_id,backend,dpus,fuse,geometry,policy,schedule,tasklets,threads,warmups,measurements,success,unsupported,complete,quality_qualified,observation_source_rows,source_id,source_row,job_to_state_s,job_to_state_s_mad,prepared_call_s,prepared_call_s_mad,session_inclusive_s,session_inclusive_s_mad,steady_s,steady_s_mad,kernel_s,kernel_s_mad,session_open_s,session_open_s_mad,session_close_s,session_close_s_mad,h2d_s,h2d_s_mad,d2h_s,d2h_s_mad,h2d_bytes,h2d_bytes_mad,d2h_bytes,d2h_bytes_mad
T,hs_n18,hs,18,upmem_d1_t10_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,10,1,1,5,5,0,True,True,345;346;347;348;349,final_coverage,54,2.2550908959819935,0.04231704998528585,2.0996121509815566,0.04281440901104361,2.0337017939891666,0.04333435697481036,1.6562006549793296,0.03981798101449385,0.452583992,0.0003937070000000764,0.3706988049671054,0.001031277992296964,0.00400388304842636,6.767502054572105e-05,0.179898117,0.0009638339999999135,0.24231979699999995,0.003815035999999994,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t11_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,11,1,1,5,5,0,True,True,351;352;353;354;355,final_coverage,55,2.1939352069748566,0.008556221961043775,2.0390655809897,0.010107631969731301,1.9733827040181495,0.009748744079843163,1.5943123109755106,0.008067178016062826,0.4288405569999999,0.0019780969999999565,0.37221665104152635,0.0019272410427220166,0.004178225004579872,3.781000850722194e-05,0.18110821500000007,0.0009821270000000826,0.23707373699999995,0.007121848000000097,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t12_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,12,1,1,5,5,0,True,True,357;358;359;360;361,final_coverage,56,2.1926019709790125,0.018793016963172704,2.038048024987802,0.01962858799379319,1.9728497509495355,0.01944586297031492,1.6022839379729703,0.021677932993043214,0.43424900899999996,0.0022111619999999332,0.36894290102645755,0.0029045380651950836,0.003854981972835958,0.00017551600467413664,0.18190803200000003,0.001710069999999897,0.24205281099999998,0.0034937079999999843,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t13_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,13,1,1,5,5,0,True,True,363;364;365;366;367,final_coverage,57,2.2046660460182466,0.018690751981921494,2.047250091971364,0.017459307971876115,1.9817440079059452,0.017407246923539788,1.597184487967752,0.016573053027968854,0.432221952,0.004339685999999898,0.373027355002705,0.004750334017444402,0.0038992089685052633,0.00014528195606544614,0.17986868400000006,0.0001184320000000294,0.24099193500000002,0.0044577509999999265,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t14_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,14,1,1,5,5,0,True,True,369;370;371;372;373,final_coverage,58,2.203661059960723,0.011450408957898617,2.0486685190116987,0.011028212029486895,1.983331513009034,0.011010119051206857,1.6076067209942266,0.009296807984355837,0.43696749700000004,0.0029574059999999402,0.37294673605356365,0.001412638055626303,0.004294785961974412,0.00020316505106166005,0.17948878000000001,0.0016390870000000113,0.24131932300000003,0.0028148339999999328,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t15_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,15,1,1,5,5,0,True,True,375;376;377;378;379,final_coverage,59,2.2205841619870625,0.012668857991229743,2.064421508985106,0.012606686970684677,1.999192462011706,0.012888144992757589,1.6181762560154311,0.00815629999851808,0.4403848120000001,0.0018214420000001175,0.37460630998248234,0.000951363006606698,0.004024699970614165,0.00017966097220778465,0.1800555869999999,0.00047328599999998944,0.24219943500000002,0.003087398000000019,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t16_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,16,1,1,5,5,0,True,True,381;382;383;384;385,final_coverage,60,2.2237363570020534,0.030234383011702448,2.068026283988729,0.030742790026124567,2.0021792810293846,0.03134054894326255,1.624755961005576,0.03421787801198661,0.4368661199999999,0.005239071000000095,0.36791957897366956,0.0003463599714450538,0.003893697983585298,0.00019851798424497247,0.18089429199999998,0.0012215079999999545,0.245027208,0.002863418000000062,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t17_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,17,1,1,5,5,0,True,True,387;388;389;390;391,final_coverage,61,2.2928753300220706,0.014505875005852431,2.1372275889734738,0.012651426019147038,2.071972383011598,0.012523264973424375,1.696409575000871,0.0101711280294694,0.44665747999999994,0.0021293019999999996,0.3717713829828426,0.0022686899756081402,0.003916746994946152,5.839602090418339e-05,0.17980284299999993,0.0005582569999999509,0.24512780099999998,0.0013979910000000983,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t18_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,18,1,1,5,5,0,True,True,393;394;395;396;397,final_coverage,62,2.205542828014586,0.012556031986605376,2.0499989389791153,0.012577647052239627,1.984606389014516,0.012570157006848603,1.6093552929814905,0.005184957000892609,0.438854533,0.0037413440000000353,0.3749684829963371,0.0032138790120370686,0.004214757005684078,0.00017128902254626155,0.17842935899999995,0.0013151249999999726,0.23528265899999987,0.007923796000000066,146272.0,0.0,4274144.0,0.0
T,hs_n18,hs,18,upmem_d1_t19_serial_nodes_v1_0_f32,upmem,1,False,panel_only_v1,split_complex_float32_v1,serial_nodes_v1,19,1,1,5,5,0,True,True,399;400;401;402;403,final_coverage,63,2.233833071019035,0.028786554001271725,2.0782529530115426,0.02800483803730458,2.0128471659263596,0.02812760096276179,1.6383505889680237,0.03225955896778032,0.43988170600000004,0.003465415999999999,0.37373998400289565,0.0016196530195884407,0.004041955980937928,0.0002247429802082479,0.17946442299999993,0.0019010949999998805,0.24056439599999996,0.004484687000000043,146272.0,0.0,4274144.0,0.0
